planner,terrain,density,seed,obsFrac,numUAV,mission_time_s,fleet_energy_MJ,energy_per_UAV_MJ,HPC_pct,sorties,energy_per_bit_J,any_collision,met_hpc_target,composite_score,is_optimal_for_seed
priority,hilly,medium,31024,0,7,3493.75,13.2487412002255,1.89267731431792,85.7142857142857,15,1223.77409653582,1,1,8.45399951933222,0
priority,hilly,medium,31024,0,8,4207.5,14.1361041267294,1.76701301584118,85.1584213451918,16,1373.84777587128,1,1,8.74515663679258,0
priority,hilly,medium,31024,0,9,4007.5,15.0226996867883,1.66918885408759,85.9922178988327,17,1364.04735027544,1,1,8.75547464015581,0
priority,hilly,medium,31024,0,10,3711.25,15.0491327701927,1.50491327701927,86.3813229571984,17,1311.10671525962,1,1,8.66494843000252,0
priority,hilly,medium,31025,0,1,6338.75,11.4571812050771,11.4571812050771,85.5072463768116,13,1104.50560528721,0,1,0.421879946795737,0
priority,hilly,medium,31025,0,2,3808.75,11.4740955541164,5.7370477770582,85.5629877369008,13,1078.95884417614,0,1,0.0963817737961919,0
priority,hilly,medium,31025,0,3,3136.25,12.3810098297228,4.12700327657426,85.9531772575251,14,1072.80138531963,0,1,0.0711182793394765,1
priority,hilly,medium,31025,0,4,3063.75,13.2546382839677,3.31365957099193,86.3433667781494,15,1122.1312877752,0,1,0.155187202918801,0
priority,hilly,medium,31025,0,5,3067.5,13.2890892758981,2.65781785517963,85.2285395763657,15,1147.10675858141,1,1,8.17520336667111,0
priority,hilly,medium,31025,0,6,3211.25,13.2690824884901,2.21151374808169,86.6778149386845,15,1186.07261499966,1,1,8.21830362040919,0
priority,hilly,medium,31025,0,7,3096.25,13.2632400902045,1.89474858431492,85.6744704570792,15,1214.12040621222,1,1,8.22322060411275,0
priority,hilly,medium,31025,0,8,3597.5,14.148719034286,1.76858987928575,86.1204013377926,16,1294.97832771093,1,1,8.39992289727526,0
priority,hilly,medium,31025,0,9,4212.5,15.025926557957,1.66954739532855,85.8416945373467,17,1448.41935213172,1,1,8.64005242965017,0
priority,hilly,medium,31025,0,10,4360,15.9084150693935,1.59084150693935,86.0646599777035,18,1507.50381302969,1,1,8.75832061068702,0
priority,hilly,medium,31026,0,1,6431.25,11.4590945389618,11.4590945389618,87.2125630959058,13,1090.74718576053,0,1,0.41926734236803,0
priority,hilly,medium,31026,0,2,3796.25,11.4784913969745,5.73924569848727,85.9226023555805,13,1084.12150976776,0,1,0.114117742938707,0
