terrain,density,seed,numUAV,mission_time_s,fleet_energy_MJ,energy_per_UAV_MJ,HPC_pct,sorties,energy_per_bit_J,any_collision,met_hpc_target,composite_score,is_optimal_for_seed
hilly,high,25207,11,3652.5,15.03115785149,1.36646889559,85.312324141812,17,1443.35413593006,1,1,8.6393103489145,0
hilly,high,25207,12,3818.75,15.9215332890759,1.32679444075632,85.7062464828362,18,1467.10771801393,1,1,8.72763358778626,0
hilly,high,25208,1,5953.75,10.5755231426902,10.5755231426902,85.6657223796034,12,1078.58906035735,0,1,0.414012911939723,0
hilly,high,25208,2,3502.5,10.5992585380174,5.29962926900868,85.4957507082153,12,1068.09494821455,0,1,0.085443767487649,0
hilly,high,25208,3,2902.5,11.5002685956469,3.83342286521562,85.0991501416431,13,1061.39711324079,0,1,0.0517462695615956,1
hilly,high,25208,4,3117.5,13.2419554100667,3.31048885251667,85.6657223796034,15,1084.04491263018,0,1,0.195851451190881,0
hilly,high,25208,5,3491.25,13.2494227267116,2.64988454534231,86.742209631728,15,1142.98696303513,1,1,8.29330844334988,0
hilly,high,25208,6,3577.5,14.1399992273675,2.35666653789458,85.8923512747875,16,1211.01472608633,1,1,8.40989801520799,0
hilly,high,25208,7,3585,14.1525677529713,2.02179539328161,86.4022662889518,16,1251.70704716004,1,1,8.44475225272479,0
hilly,high,25208,8,4166.25,15.8967196247321,1.98708995309151,86.9688385269122,18,1301.20666308269,1,1,8.65889501603214,0
hilly,high,25208,9,3843.75,15.0221981148606,1.6691331238734,86.1189801699717,17,1308.41091903405,1,1,8.57355347500375,0
hilly,high,25208,10,3407.5,14.1392988804959,1.41392988804959,86.2889518413598,16,1274.38649480405,1,1,8.43922630599255,0
hilly,high,25208,11,3845,15.9367528165852,1.44879571059866,85.7790368271955,18,1397.97253101561,1,1,8.6978937627881,0
hilly,high,25208,12,3867.5,15.9298257183079,1.32748547652566,86.4022662889518,18,1429.45652567072,1,1,8.72611790872274,0
hilly,high,25209,1,5932.5,10.5822375207814,10.5822375207814,86.1572535991141,12,1093.34188562013,0,1,0.418211932902944,0
hilly,high,25209,2,3806.25,11.4779230212151,5.73896151060756,86.6002214839424,13,1085.50531234388,0,1,0.18083201929218,0
hilly,high,25209,3,2937.5,11.487024555259,3.82900818508632,85.3820598006645,13,1073.56355779597,0,1,0.0607703950770143,1
hilly,high,25209,4,2757.5,12.3964503233694,3.09911258084236,85.1605758582503,14,1105.64381195909,0,1,0.105921335755295,0
hilly,high,25209,5,4178.75,14.1575199939308,2.83150399878617,86.3233665559247,16,1242.55654977879,1,1,8.48519037294631,0
hilly,high,25209,6,3250,13.244511561608,2.20741859360133,86.6002214839424,15,1182.46342558191,1,1,8.27440923639928,0
hilly,high,25209,7,3083.75,13.2808211479633,1.89726016399476,85.9911406423034,15,1197.24613041452,1,1,8.26860500710544,0
hilly,high,25209,8,3081.25,13.2561748295642,1.65702185369552,85.1605758582503,15,1235.31376988425,1,1,8.30230516633029,0
hilly,high,25209,9,3453.75,13.2630373085018,1.47367081205576,85.5481727574751,15,1351.43214345376,1,1,8.45644530737431,0
hilly,high,25209,10,3595,15.0341429914093,1.50341429914093,86.3787375415282,17,1327.56137200366,1,1,8.52682718620928,0
hilly,high,25209,11,4352.5,17.7078110759593,1.60980100690539,87.0431893687708,20,1399.3663366042,1,1,8.80094488188976,0
hilly,high,25209,12,3511.25,15.9353674927511,1.32794729106259,85.6035437430786,18,1361.22269653477,1,1,8.58521467592267,0
hilly,high,25210,1,6578.75,11.4563825590962,11.4563825590962,87.2434830837493,13,1048.91066667433,0,1,0.4,0
hilly,high,25210,2,4046.25,12.3725299935078,6.18626499675391,87.3544093178037,14,1079.39942497833,0,1,0.198641044782119,0
hilly,high,25210,3,3110,12.3785350604065,4.12617835346885,85.9123682750971,14,1074.35771241496,0,1,0.089866960063443,0
hilly,high,25210,4,3028.75,12.36927199153,3.09231799788251,86.4669994453688,14,1083.32881522476,0,1,0.0866461791017855,1
hilly,high,25210,5,3597.5,13.2459989558985,2.64919979117969,86.7443150305047,15,1193.01683274364,0,1,0.289964898959686,0
hilly,high,25210,6,4025,14.1428836057342,2.35714726762236,86.3560732113145,16,1219.36785744705,1,1,8.41780490280045,0
hilly,high,25210,7,4092.5,15.0262378514398,2.14660540734854,86.9107043815862,17,1268.50129439516,1,1,8.5208245831666,0
hilly,high,25210,8,3817.5,14.1264389370007,1.76580486712508,86.522462562396,16,1315.44030147011,1,1,8.46354778069421,0
hilly,high,25210,9,4191.25,15.900676952046,1.76674188356067,87.1880199667221,18,1341.19136406032,1,1,8.64398526845054,0
hilly,high,25210,10,4171.25,15.0333018843366,1.50333018843366,85.8014420410427,17,1422.10815950042,1,1,8.64246310492442,0
hilly,high,25210,11,3865,15.0381883273116,1.3671080297556,85.2468108707709,17,1434.43756020829,1,1,8.61729820247732,0
hilly,high,25210,12,3986.25,15.9105253097471,1.32587710914559,85.7459789240155,18,1459.29685791995,1,1,8.70788732394366,0
hilly,high,25211,1,6083.75,10.5855219405788,10.5855219405788,86.8306010928962,12,1054.35305674383,0,1,0.408511977443663,0
hilly,high,25211,2,3840,11.4707298829664,5.7353649414832,87.7049180327869,13,1046.88914564651,0,1,0.180412981603646,0
hilly,high,25211,3,2708.75,10.617887070915,3.53929569030499,86.2841530054645,12,1041.27225275655,0,1,0.0015606151508045,1
hilly,high,25211,4,3325,14.1605711304086,3.54014278260216,86.6120218579235,16,1125.20554913173,0,1,0.300039746703964,0
hilly,high,25211,5,2806.25,12.3695780710131,2.47391561420262,85.8469945355191,14,1098.74094622012,1,1,8.13497719876363,0
hilly,high,25211,6,3112.5,12.3758601622374,2.0626433603729,85.3005464480874,14,1177.0092754816,1,1,8.2225073980458,0
hilly,high,25211,7,4455,14.1376859169385,2.0196694167055,86.3934426229508,16,1381.48792286658,1,1,8.59963095460757,0
hilly,high,25211,8,3856.25,14.1355862040459,1.76694827550574,85.4644808743169,16,1339.51481268915,1,1,8.50125388559868,0
hilly,high,25211,9,3720,15.0319928934995,1.67022143261106,86.3934426229508,17,1304.98818978121,1,1,8.50586233654156,0
hilly,high,25211,10,3623.75,15.0323323357196,1.50323323357196,85.6284153005465,17,1303.40759662343,1,1,8.49344276869739,0
hilly,high,25211,11,4165,15.9036946929498,1.4457904266318,85.3551912568306,18,1492.40747375552,1,1,8.72259369334062,0
hilly,high,25211,12,4295,16.8071321151687,1.40059434293073,87.3224043715847,19,1502.29805106945,1,1,8.788,0
hilly,high,25212,1,6341.25,11.4545656841937,11.4545656841937,85.8017817371938,13,1099.36729383391,0,1,0.432104869616175,0
hilly,high,25212,2,3772.5,11.4890843093026,5.74454215465132,87.1380846325167,13,1071.74360398594,0,1,0.113995557126857,0
hilly,high,25212,3,2917.5,11.5030801244953,3.83436004149842,85.467706013363,13,1054.89724971715,0,1,0.00273075538940536,1
hilly,high,25212,4,3001.25,13.2687842078956,3.3171960519739,86.8596881959911,15,1098.49581811765,0,1,0.143378087537222,0
hilly,high,25212,5,3356.25,13.2654720654837,2.65309441309674,86.0244988864142,15,1185.58267052772,1,1,8.24753845351912,0
hilly,high,25212,6,3341.25,13.2618999424533,2.21031665707554,87.0824053452116,15,1164.43908204589,1,1,8.23032044214856,0
hilly,high,25212,7,3498.75,13.2477380969168,1.89253401384526,86.3028953229399,15,1269.98916707511,1,1,8.32412540615056,0
hilly,high,25212,8,3675,14.1368719248099,1.76710899060123,85.6904231625835,16,1316.23877452889,1,1,8.42815357601154,0
hilly,high,25212,9,4063.75,15.014754296753,1.66830603297255,85.913140311804,17,1407.83474657392,1,1,8.58911253255034,0
hilly,high,25212,10,3648.75,15.0211724405835,1.50211724405835,86.5256124721604,17,1345.85291283352,1,1,8.49624154880893,0
hilly,high,25212,11,4063.75,15.9006130599474,1.44551027817704,85.467706013363,18,1470.4420999073,1,1,8.684174272659,0
hilly,high,25212,12,4213.75,16.784348112509,1.39869567604242,87.4164810690423,19,1464.15562043318,1,1,8.74690364771173,0
